@relation compact_wind_onshore

@attribute date numeric
@attribute hour numeric
@attribute dayiness numeric
@attribute mean_TU_0 numeric
@attribute mean_TU_1 numeric
@attribute mean_N_0 numeric
@attribute mean_RR_0 numeric
@attribute mean_RR_1 numeric
@attribute mean_SD_0 numeric
@attribute mean_VV_0 numeric
@attribute mean_FF_0 numeric
@attribute mean_FF_1 numeric
@attribute wind_onshore numeric

@data
20220109,8,0.5,1.411465,87.866242,7.634615,0.292357,0.789809,0.077419,26543.717949,5.68129,204.129032,24020.25
20220109,9,0.71,1.572611,87.636943,7.532051,0.274522,0.757962,1.6,27395.064103,5.659355,211.612903,22685.25
20220109,10,0.87,1.885987,86.821656,7.487179,0.226115,0.700637,3.180645,29368.974359,5.54129,217.354839,21238.5
20220109,11,0.97,2.226752,86.191083,7.50641,0.217197,0.700637,3.729032,30230.320513,5.518065,220.322581,19874.25
20220109,12,1,2.497452,85.356688,7.50641,0.153503,0.694268,4.535484,32602.051282,5.4,222.580645,18469.25
20220109,13,0.97,2.635032,85.324841,7.423077,0.161783,0.694268,4.670968,30134.807692,5.134839,226.451613,17271.75
20220109,14,0.87,2.653503,85.503185,7.371795,0.182166,0.675159,4.748387,32132.435897,4.752258,229.677419,15581.5
20220109,15,0.71,2.510828,86.261146,7.326923,0.156688,0.66242,2.729032,32376.923077,4.312258,228.967742,14104.5
20220109,16,0.5,2.201911,88.229299,7.365385,0.170701,0.579618,1.025806,30241.602564,3.894194,230.451613,13374.5
20220109,17,0.26,1.998726,89.305732,7.403846,0.147771,0.56051,0,29652.051282,3.517419,228,12654
20220109,18,0,1.798089,90.757962,7.288462,0.13949,0.535032,0,26591.410256,3.212903,226.322581,11935
